Density Total;Richness Total;Density;Richness
3;3;0,477121255;0,477121255
3;3;0,477121255;0,477121255
11;11;1,041,392,685;1,041,392,685
11;11;1,041,392,685;1,041,392,685
10;10;1;1
4;4;0,602059991;0,602059991
1;1;0;0
2;2;0,301029996;0,301029996
1;1;0;0
13;10;1,113,943,352;1
41;27;1,612,783,857;1,431,363,764
47;31;1,672,097,858;1,491,361,694
52;32;1,716,003,344;1,505,149,978
47;30;1,672,097,858;1,477,121,255
40;27;1,602,059,991;1,431,363,764
18;17;1,255,272,505;1,230,448,921
11;11;1,041,392,685;1,041,392,685
14;12;1,146,128,036;1,079,181,246
7;6;0,84509804;0,77815125
4;4;0,602059991;0,602059991
4;4;0,602059991;0,602059991
4;4;0,602059991;0,602059991
2;2;0,301029996;0,301029996
2;2;0,301029996;0,301029996
8;6;0,903089987;0,77815125
8;6;0,903089987;0,77815125
8;6;0,903089987;0,77815125
2;2;0,301029996;0,301029996
2;2;0,301029996;0,301029996
14;10;1,146,128,036;1
41;27;1,612,783,857;1,431,363,764
47;31;1,672,097,858;1,491,361,694
53;33;172,427,587;151,851,394
54;33;173,239,376;151,851,394
59;34;1,770,852,012;1,531,478,917
72;38;1,857,332,496;1,579,783,597
71;38;1,851,258,349;1,579,783,597
54;34;173,239,376;1,531,478,917
45;30;1,653,212,514;1,477,121,255
28;20;1,447,158,031;1,301,029,996
15;14;1,176,091,259;1,146,128,036
13;13;1,113,943,352;1,113,943,352
12;12;1,079,181,246;1,079,181,246
4;4;0,602059991;0,602059991
2;2;0,301029996;0,301029996
8;6;0,903089987;0,77815125
8;6;0,903089987;0,77815125
16;14;1,204,119,983;1,146,128,036
16;14;1,204,119,983;1,146,128,036
16;14;1,204,119,983;1,146,128,036
8;6;0,903089987;0,77815125
12;9;1,079,181,246;0,954242509
16;10;1,204,119,983;1
9;8;0,954242509;0,903089987
1;1;0;0
49;24;169,019,608;1,380,211,242
69;32;1,838,849,091;1,505,149,978
107;45;2,029,383,778;1,653,212,514
63;39;1,799,340,549;1,591,064,607
57;38;1,755,874,856;1,579,783,597
65;39;1,812,913,357;1,591,064,607
93;45;1,968,482,949;1,653,212,514
113;47;2,053,078,443;1,672,097,858
120;50;2,079,181,246;1,698,970,004
94;45;1,973,127,854;1,653,212,514
91;46;1,959,041,392;1,662,757,832
69;39;1,838,849,091;1,591,064,607
57;35;1,755,874,856;1,544,068,044
42;26;162,324,929;1,414,973,348
15;15;1,176,091,259;1,176,091,259
13;13;1,113,943,352;1,113,943,352
12;12;1,079,181,246;1,079,181,246
4;4;0,602059991;0,602059991
2;2;0,301029996;0,301029996
3;3;0,477121255;0,477121255
31;18;1,491,361,694;1,255,272,505
42;21;162,324,929;1,322,219,295
42;21;162,324,929;1,322,219,295
45;23;1,653,212,514;1,361,727,836
41;22;1,612,783,857;1,342,422,681
34;22;1,531,478,917;1,342,422,681
32;20;1,505,149,978;1,301,029,996
33;20;151,851,394;1,301,029,996
23;13;1,361,727,836;1,113,943,352
15;10;1,176,091,259;1
15;10;1,176,091,259;1
16;12;1,204,119,983;1,079,181,246
5;5;0,698970004;0,698970004
4;4;0,602059991;0,602059991
52;26;1,716,003,344;1,414,973,348
58;28;1,763,427,994;1,447,158,031
95;37;1,977,723,605;1,568,201,724
106;38;2,025,305,865;1,579,783,597
135;51;2,130,333,768;1,707,570,176
